CPU Usage
33.3
33.3
26.7
33.3
33.3
26.7
33.3
26.7
26.7
33.3
33.3
31.2
33.3
33.3
33.3
33.3
33.3
33.3
26.7
31.2
33.3
33.3
26.7
26.7
33.3
33.3
33.3
33.3
33.3
26.7
33.3
31.2
33.3
20.0
31.2
33.3
33.3
31.2
40.0
26.7
40.0
33.3
33.3
33.3
33.3
33.3
26.7
33.3
26.7
33.3
33.3
25.0
33.3
40.0
33.3
33.3
26.7
26.7
33.3
26.7
26.7
37.5
26.7
40.0
26.7
40.0
33.3
26.7
33.3
33.3
40.0
33.3
33.3
25.0
33.3
26.7
37.5
33.3
40.0
26.7
33.3
40.0
40.0
33.3
33.3
33.3
26.7
33.3
33.3
40.0
33.3
26.7
33.3
33.3
40.0
33.3
33.3
26.7
33.3
26.7
33.3
33.3
25.0
26.7
40.0
33.3
26.7
33.3
33.3
33.3
33.3
33.3
26.7
33.3
33.3
33.3
33.3
33.3
33.3
40.0
0.0
0.0
0.0
0.0
6.7
13.3
13.3
18.8
20.0
26.7
33.3
40.0
46.7
43.8
53.3
53.3
60.0
66.7
73.3
80.0
86.7
86.7
93.3
93.3
100.0
100.0
100.0
100.0
100.0
100.0
100.0
100.0
100.0
93.3
100.0
100.0
100.0
93.3
93.3
100.0
100.0
93.3
93.3
33.3
40.0
31.2
26.7
33.3
40.0
40.0
33.3
33.3
31.2
26.7
33.3
26.7
26.7
31.2
40.0
33.3
33.3
33.3
33.3
33.3
0.0
33.3
33.3
31.2
33.3
33.3
26.7
33.3
26.7
33.3
40.0
33.3
33.3
26.7
33.3
40.0
33.3
33.3
26.7
26.7
40.0
40.0
26.7
33.3
31.2
33.3
26.7
33.3
26.7
26.7
40.0
33.3
31.2
26.7
33.3
40.0
33.3
40.0
33.3
33.3
40.0
33.3
33.3
40.0
33.3
33.3
26.7
31.2
26.7
33.3
